SiteName,Locator,Latitude,Longitude,Site Type,Area,New Georeferenced Column
Zackuse Creek,A687,47.6123,-122.0685,Streams and Rivers,Zackuse,POINT (-122.0685 47.6123)
Longfellow Creek at SW Brandon St,J370,47.5539,-122.3669,Streams and Rivers,Longfellow,POINT (-122.3669444 47.55386111)
South Central Elliott Bay,LTED04,47.6036,-122.357,Marine Offshore,Central Puget Sound,POINT (-122.3570023 47.6035995)
Tolt River mouth,TOLT_MTH,47.6381,-121.9194,Streams and Rivers,Tolt River,POINT (-121.9194444 47.63805556)
Crisp Creek below hatchery intake,F321,47.2898,-122.0584,Streams and Rivers,Crisp,POINT (-122.0583611 47.28977778)
Fauntleroy Cove Beach,LSVW01,47.5238,-122.394,Marine Intertidal,Central Puget Sound,POINT (-122.3939972 47.5237999)
Point Roberts Park,MTXA01,47.3869,-122.375,Marine Intertidal,Central Puget Sound,POINT (-122.375 47.3869019)
Matthews Beach,0818SB,47.6968,-122.2727,Swimming Beaches,Lake Washington,POINT (-122.27267 47.69675)
Hidden Lake Beach,0207SB,47.7522,-122.37,Swimming Beaches,Hidden Lake,POINT (-122.36998 47.752182)
South Plant Outfall,LSEP01,47.6012,-122.426,Marine Offshore,Central Puget Sound,POINT (-122.4260025 47.6012001)
Tibbetts Creek,A630,47.5543,-122.0684,Streams and Rivers,Tibbetts,POINT (-122.06845 47.554264)
Sammamish River at NE 145th St,0450CC,47.7328,-122.1456,Streams and Rivers,Sammamish,POINT (-122.1455556 47.73283333)
Point Wells,JSUR01,47.7774,-122.418,Marine Offshore,Central Puget Sound,POINT (-122.4179993 47.777401)
Idylwood Creek mouth at Idylwood Park,A620,47.643,-122.1027,Streams and Rivers,Idylwood,POINT (-122.1026944 47.64297222)
Swamp Creek at Carter Rd,BB470,47.7797,-122.251,Streams and Rivers,Swamp,POINT (-122.2509722 47.77975)
Lake Washington near Thornton Creek,0817,47.6948,-122.2696,Large Lakes,Lake Washington,POINT (-122.269646 47.694836)
Mount Baker Park,0820SB,47.5833,-122.2872,Swimming Beaches,Lake Washington,POINT (-122.28723 47.583332)
Duwamish at E Marginal Way,0309,47.5007,-122.2882,Streams and Rivers,Duwamish,POINT (-122.2881667 47.50069444)
Ebright Creek mouth at E Lake Sammamish Pkwy,A685,47.6083,-122.0725,Streams and Rivers,Ebright,POINT (-122.0725 47.60833333)
Burton Acres Park,MSXK01,47.3901,-122.447,Marine Intertidal,Central Puget Sound,POINT (-122.4469986 47.3900986)
West Point North Beach,KSSN04,47.6624,-122.434,Marine Intertidal,Central Puget Sound,POINT (-122.4339981 47.6623993)
Little Bear Creek at Little Bear Creek Rd,S478,47.8114,-122.159,Streams and Rivers,Little Bear,POINT (-122.159 47.81144444)
Newcastle Beach ,083930SB,47.5656,-122.1915,Swimming Beaches,Lake Washington,POINT (-122.191475 47.56561)
Ship Canal near Montlake Bridge,0540,47.6473,-122.3053,Large Lakes,Lake Union/Ship Canal,POINT (-122.30525 47.64731)
Ship Canal above locks,0512,47.6648,-122.3962,Large Lakes,Lake Union/Ship Canal,POINT (-122.396194 47.664806)
Beaver Lake Swim Beach,A709SB,47.5874,-122.0024,Swimming Beaches,Beaver Lake,POINT (-122.00242 47.58738)
Lake Washington south of I-90,0890,47.5754,-122.2673,Large Lakes,Lake Washington,POINT (-122.2673 47.575436)
North Creek mouth at Sammamish River Trail,0474,47.7563,-122.1888,Streams and Rivers,North,POINT (-122.1888333 47.75630556)
Cedar River at SE Jones Rd,A438,47.4579,-122.0783,Streams and Rivers,Cedar,POINT (-122.0783056 47.45794444)
Lake Washington near Coal Creek,0832,47.5742,-122.1926,Large Lakes,Lake Washington,POINT (-122.19256 47.574226)
South Plant Outfall North,RT625NP,47.6032,-122.4274,Marine Offshore,Central Puget Sound,POINT (-122.4273944 47.60317194)
Duwamish River/Boeing Bridge/burned bridge at 27th Ave S And S 104th St,0308,47.5123,-122.3,Streams and Rivers,Duwamish,POINT (-122.3000031 47.5122986)
Thornton Creek mouth at Sand Point Way NE,0434,47.6963,-122.2766,Streams and Rivers,Thornton,POINT (-122.2766389 47.69630556)
